H,HOME,D,AWAY,A,,TIME,,Pct,,Under,Over,YES,NO
1.5,Sunderland,2.1,Portsmouth,1.75,,,,,,,1.20,19/20,3/4
0.333333333,Arsenal,4.5,Burnley,8,,,,,,,0.53,3/4,19/20
1.375,Aston Villa,2.4,Bournemouth,2,,12.30,,,,,0.73,17/20,17/20
1.6,Brighton,2.25,West Ham,1.875,,15.00,,,,,0.91,17/20,17/20
0.75,Everton,3,Watford,3.5,,15.00,,,,,0.67,4/5,10/11
1.25,Norwich,2.3,Newcastle,2.4,,15.00,,,,,0.85,17/20,17/20
5.5,Southampton,3.5,Liverpool,0.5,,15.00,,,,,0.57,3/4,19/20
0.363636364,Man City,4,Tottenham,8,,15.00,,,,,0.50,8/11,Evs
1,Barnsley,2.4,Charlton,2.6,,15.00,,,,,0.75,17/20,17/20
1.4,Blackburn,2.25,Middlesbrough,1.875,,15.00,,,,,0.91,17/20,17/20
0.615384615,Brentford,2.75,Hull,4.2,,15.00,,,,,0.62,4/5,10/11
1,Bristol City,2.25,QPR,2.75,,17.30,,,,,0.80,17/20,17/20
1.6,Luton,2.3,West Brom,1.6,,15.00,,,,,0.73,17/20,17/20
1.5,Millwall,2.1,Sheff Wed,1.875,,15.00,,,,,1.20,19/20,3/4
1,Nottm Forest,2.25,Birmingham,2.75,,15.00,,,,,1.10,19/20,3/4
1.25,Stoke,2.1,Derby,2.25,,OFF,,,,,1.10,19/20,3/4
1.2,Swansea,2.25,Preston,2.2,,15.00,,,,,0.80,17/20,17/20
3.333333333,Wigan,2.4,Leeds,0.833333333,,15.00,,,,,0.80,17/20,17/20
1.3,AFC Wimbledon,2.2,Accrington,2,,15.00,,,,,0.95,17/20,17/20
1.4,Blackpool,2.1,Oxford Utd,1.875,,15.00,,,,,1.20,19/20,3/4
1.4,Burton,2.2,Rotherham,1.8,,15.00,,,,,0.91,17/20,17/20
1.05,Coventry,2.2,Bristol Rovers,2.5,,15.00,,,,,1.20,19/20,3/4
1.625,Doncaster,2.1,Fleetwood,1.625,,15.00,,,,,1.05,10/11,4/5
0.666666667,Lincoln,2.5,Southend,4,,15.00,,,,,1.20,19/20,3/4
1.5,Peterborough,2.1,Ipswich,1.75,,15.00,,,,,1.05,10/11,4/5
0.85,Shrewsbury,2.4,Rochdale,3,,15.00,,,,,0.95,17/20,17/20
0.3,Tranmere,4,Bolton,8,,15.00,,,,,0.62,4/5,10/11
1.5,Wycombe,2.3,MK Dons,1.625,,15.00,,,,,0.91,17/20,17/20
0.727272727,Bradford City,2.5,Oldham,3.5,,15.00,,,,,0.91,17/20,17/20
1.8,Carlisle,2.25,Mansfield,1.4,,15.00,,,,,0.80,17/20,17/20
0.833333333,Colchester,2.25,Cambridge Utd,3.333333333,,15.00,,,,,1.10,19/20,3/4
1.15,Crewe,2.25,Walsall,2.2,,15.00,,,,,0.91,17/20,17/20
1.625,Exeter,2.1,Swindon,1.625,,15.00,,,,,1.10,19/20,3/4
1,Forest Green,2.1,Grimsby,2.8,,15.00,,,,,1.20,19/20,3/4
1,Leyton Orient,2.25,Stevenage,2.6,,15.00,,,,,1.10,19/20,3/4
1.6,Morecambe,2.2,Cheltenham,1.6,,15.00,,,,,0.91,17/20,17/20
1.4,Newport Co,2.25,Plymouth,1.8,,15.00,,,,,1.05,10/11,4/5
0.909090909,Northampton,2.4,Macclesfield,2.75,,15.00,,,,,0.91,17/20,17/20
1.1,Salford,2.2,Port Vale,2.4,,15.00,,,,,1.10,19/20,3/4
1.05,Scunthorpe,2.5,Crawley,2.25,,15.00,,,,,0.85,17/20,17/20
0.05,Celtic,9,Dunfermline,25,,15.00,,,,,0.25,8/13,6/5
3.5,Forfar Athletic,3,Livingston,0.615384615,,15.00,,,,,0.67,4/5,10/11
0.25,Hibernian,4.5,Morton,8,,15.00,,,,,0.62,4/5,10/11
0.444444444,Kilmarnock,3,Hamilton,5.5,,15.00,,,,,0.80,17/20,17/20
2.4,Partick Thistle,2.6,Ross County,0.909090909,,12.30,,,,,0.67,4/5,10/11
1,Airdrieonians,2.4,Clyde,2.1,,15.00,,,,,0.67,4/5,10/11
0.363636364,Falkirk,3.6,Montrose,5,,15.00,,,,,0.50,8/11,Evs
0.444444444,Peterhead,3.2,Dumbarton,4.5,,S 15.00,,,,,0.60,4/5,10/11
2.6,Stranraer,2.75,Raith,0.75,,15.00,,,,,0.53,3/4,19/20
0.727272727,Annan,2.5,Albion Rovers,3,,15.00,,,,,0.67,4/5,10/11
2.25,Brechin,2.3,Queen's Park,1,,15.00,,,,,0.80,17/20,17/20
0.363636364,Cove Rangers,3.333333333,Cowdenbeath,5.5,,15.00,,,,,0.57,3/4,19/20
0.615384615,Edinburgh City,2.75,Stirling,3.333333333,,15.00,,,,,0.57,3/4,19/20
1.15,Elgin City,2.5,Stenhousemuir,1.75,,15.00,,,,,0.57,3/4,19/20
2,Cliftonville,2.4,Crusaders,1.1,,15.00,,,,,0.53,3/4,19/20
1.625,Dungannon,2.5,Glentoran,1.3,,15.00,,,,,0.57,3/4,19/20
0.2,Glenavon,5,Warrenpoint,9,,15.00,,,,,0.36,7/10,21/20
1.2,Institute,2.4,Carrick Rangers,1.8,,15.00,,,,,0.62,4/5,10/11
0.727272727,Larne,2.6,Ballymena,3,,15.00,,,,,0.53,3/4,19/20
0.533333333,Linfield,3,Coleraine,4,,15.00,,,,,0.53,3/4,19/20
1.625,Sheff Utd,2.1,C.Palace,1.9,,15.00,,,,,1.20,19/20,3/4
0.727272727,Chelsea,2.75,Leicester,4,,15.00,,,,,0.80,17/20,17/20
2.4,Reading,2.1,Cardiff,1.2,,15.00,,,,,0.91,17/20,17/20
4.2,Dundee ,2.75,Aberdeen,0.615384615,,15.00,,,,,0.80,17/20,17/20
20,East Fife,8,Rangers,0.071428571,,15.00,,,,,0.25,8/13,6/5
2.1,Wolves ,2.25,Man Utd,1.4,,15.00,,,,,1.00,10/11,4/5
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,#N/A,#N/A
