,,,Saturday 6th & Sunday 7th January,,,,,,Total Goals,,,Goal Rush,
,,,Irish Cup,,,,,,Under,Over,,Yes,No
,,Knockbreda,,Institute,,13.30,,,,,,,
,,Lurgan Celtic,,Glentoran,,13.30,,,,,,,
,,Queens Univ.,,Dundela,,13.30,,,,,,,
,,Ards,,Crumlin Star,,15.00,,,,,,,
,,Ballinamallard,,Immaculata,,15.00,,,,,,,
,,Ballymena,,Moyola,,15.00,,,,,,,
,,C. Rangers,,Glenavon,,15.00,,,,,,,
,,Cliftonville,,Warrenpoint,,15.00,,,,,,,
,,Coleraine,,Lisburn,,15.00,,,,,,,
,,Crusaders,,Maiden City,,15.00,,,,,,,
,,Dungannon,,Limavady,,15.00,,,,,,,
,,Larne,,Dergview,,15.00,,,,,,,
,,Linfield,,Glebe,,15.00,,,,,,,
,,Loughgall,,PSNI,,15.00,,,,,,,
,,Newry City,,H&W Welders,,15.00,,,,,,,
,,Portadown,,Ballyclare,,15.00,,,,,,,
,,,Spanish La Liga,,,,,,,,,,
1,,Atl. Madrid,,Getafe,,12.00,SKY,F,,,,,
2,,Valencia,,Girona,,15.15,SKY,,,,,,
3,,Las Palmas,,Eibar,,17.30,SKY,,,,,,
4,,Sevilla,,Betis,,19.45,SKY,,,,,,
5,,Leganes,,Real Sociedad,,S 11.00,SKY,,,,,,
6,,Barcelona,,Levante,,S 15.15,SKY,F,,,,,
7,,Ath Bilbao,,Alaves,,S 17.30,SKY,,,,,,
8,,Villarreal,,Dep. La Coruna,,S 17.30,SKY,,,,,,
9,,Celta Vigo,,Real Madrid,,S 19.45,SKY,F,,,,,
,,,Italy Serie A,,,,,,,,,,
10,,Torino,,Bologna,,11.30,BT,,,,,,
11,,AC Milan,,Crotone,,14.00,,,,,,,
12,,Benevento,,Sampdoria,,14.00,,,,,,,
13,,Genoa,,Sassuolo,,14.00,,,,,,,
14,,Napoli,,Verona,,14.00,,,,,,,
15,,Spal,,Lazio,,14.00,,,,,,,
16,,Roma,,Atalanta,,17.00,BT,F,,,,,
17,,Cagliari,,Juventus,,19.45,BT,F,,,,,
,,,France Coupe De France,,,,,,,,,,
18,,Avallon,,Chambly,,12.30,,,,,,,
19,,Fabregues,,Bourg Peronnas,,12.30,,,,,,,
20,,Chartres,,Tours,,14.00,,,,,,,
21,,GFC Ajaccio,,Grenoble,,14.00,,,,,,,
22,,Houilles,,Concarneau,,14.00,,,,,,,
23,,Le Mans,,Lille,,14.00,,,,,,,
24,,Pontarlier,,Montpellier,,14.00,,,,,,,
