,,,Saturday 22nd & Sunday 23rd April,,,,,,Total Goals,,,Goal Rush,
,,,NIFL Premier League,,,,,,Under,Over,,Yes,No
,,Ballymena United,,Crusaders,,15:00,,,,,,,
,,Cliftonville,,Glenavon,,15:00,,,,,,,
,,Coleraine,,Linfield,,15:00,,,,,,,
,,Dungannon ,,Carrick Rangers,,15:00,,,,,,,
,,Glentoran,,Portadown,,15:00,,,,,,,
,,,FAI Premier League,,,,,,,,,,
,,Limerick ,,Galway Utd ,,18:30,,,,,,,
,,Sligo Rovers,,Derry City,,19:45,,,,,,,
,,,National League,,,,,,,,,,
,,Boreham Wood,,Gateshead,,15:00,,,,,,,
,,Braintree Town,,Barrow,,15:00,,,,,,,
,,Bromley,,Guiseley,,15:00,,,,,,,
,,Dover ,,Torquay ,,15:00,,,,,,,
,,Forest Green ,,Maidstone ,,15:00,,,,,,,
,,Lincoln ,,Macclesfield ,,15:00,,,,,,,
,,North Ferriby ,,Aldershot ,,15:00,,,,,,,
,,Solihull Moors,,Eastleigh,,15:00,,,,,,,
,,Sutton United,,Chester,,15:00,,,,,,,
,,Tranmere ,,Southport,,15:00,,,,,,,
,,Woking,,York City,,15:00,,,,,,,
,,Wrexham,,Dag & Red,,15:00,,,,,,,
,,,Spanish La Liga,,,,,,,,,,
,,Malaga,,Valencia,,12:00,SKY,F,,,,,
,,Villarreal,,Leganés,,15:15,SKY,,,,,,
,,Osasuna,,Sporting Gijón,,17:30,SKY,,,,,,
,,Espanyol,,Atlético Madrid,,19:45,SKY,F,,,,,
,,Real Sociedad,,Dep La Coruña,,S 11.00,SKY,,,,,,
,,Celta Vigo,,Real Betis,,S 15.15,SKY,,,,,,
,,Las Palmas,,Alavés,,S 17.30,SKY,,,,,,
,,Real Madrid,,Barcelona,,S 19.45,SKY,F,,,,,
,,,Italy Serie A,,,,,,,,,,
,,Atalanta,,Bologna,,17:00,,,,,,,
,,Fiorentina,,Inter Milan,,19:45,BT,F,,,,,
,,Sassuolo,,Napoli,,S 11.30,BT,,,,,,
,,Chievo,,Torino,,S 14.00,,,,,,,
,,Lazio,,Palermo,,S 14.00,,,,,,,
,,AC Milan,,Empoli,,S 14.00,BT,,,,,,
,,Sampdoria,,Crotone,,S 14.00,,,,,,,
,,Udinese,,Cagliari,,S 14.00,,,,,,,
,,Juventus,,Genoa,,S 19.45,BT,F,,,,,
,,,German Bundesliga,,,,,,,,,,
,,Eintracht Frankfurt,,Augsburg,,14:30,,,,,,,
,,Bayern Munich,,Mainz ,,14:30,,,,,,,
,,Ingolstadt,,Werder Bremen,,14:30,,,,,,,
,,Hamburg,,Darmstadt ,,14:30,,,,,,,
,,Hertha Berlin,,Wolfsburg,,14:30,,,,,,,
,,Borussia M'gladbach,,Borussia Dortmund,,17:30,BT,F,,,,,
,,Freiburg,,Bayer  Leverkusen,,S 14.30,BT,F,,,,,
,,Schalke ,,RB Leipzig,,S 16.30,BT,,,,,,
,,,France - La Championnat,,,,,,,,,,
,,PSG,,Montpellier,,16:00,,,,,,,
,,Bordeaux,,Bastia,,19:00,,,,,,,
,,Caen,,Nantes,,19:00,,,,,,,
,,Dijon,,Angers,,19:00,,,,,,,
,,Lille,,Guingamp,,19:00,,,,,,,
,,Lorient,,Metz,,19:00,,,,,,,
,,Toulouse,,Nice,,S 14.00,BT,,,,,,
,,St-Étienne,,Rennes,,S 16.00,BT,,,,,,
,,Lyon,,Monaco,,S 20.15,BT,F,,,,,
,,,Dutch Eredivisie,,,,,,,,,,
,,N.E.C. Nijmegen,,Excelsior,,17:30,,,,,,,
,,AZ Alkmaar,,Twente,,18:45,,,,,,,
,,Zwolle,,Heracles ,,18:45,,,,,,,
,,Go Ahead Eagles,,Groningen,,19:45,,,,,,,
,,Utrecht,,Roda JC ,,S 11.30,,,,,,,
,,Sparta Rotterdam,,ADO Den Haag,,S 13.30,,,,,,,
,,Vitesse,,Feyenoord,,S 13.30,,,,,,,
,,PSV Eindhoven,,Ajax,,S 15.45,,,,,,,
,,,Portugal Primera,,,,,,,,,,
,,Marítimo,,Belenenses,,16:00,,,,,,,
,,Tondela,,CD Nacional,,16:00,,,,,,,
,,Estoril Praia,,Vitória Setúbal,,18:15,,,,,,,
,,Sporting Lisbon,,Benfica,,20:30,,,,,,,
,,Paços Ferreira,,Braga,,S 16.00,,,,,,,
,,Guimarães,,Boavista,,S 18.00,,,,,,,
,,Porto,,Feirense,,S 20.15,,,,,,,
,,,Belgium Juplier,,,,,,,,,,
,,Sporting Charleroi,,Zulte Waregem,,17:00,,,,,,,
,,Anderlecht,,Club Brugge,,S 17.00,,,,,,,
,,,Turkey Super Lig,,,,,,,,,,
,,Çaykur Rizespor,,Istanbul BB,,11:30,,,,,,,
,,Alanyaspor,,Osmanlispor,,14:00,,,,,,,
,,Antalyaspor,,Trabzonspor,,17:00,,,,,,,
,,Gençlerbirligi,,Kayserispor,,17:00,,,,,,,
,,Akhisar Belediyespor,,Bursaspor,,S 11.30,,,,,,,
,,Galatasaray,,Fenerbahçe,,S 17.00,,,,,,,
,,,Austrian Bundesliga,,,,,,,,,,
,,Sturm Graz,,Mattersburg,,15:00,,,,,,,
,,Altach,,Admira Wacker,,17:30,,,,,,,
,,St. Pölten,,Red Bull Salzburg,,17:30,,,,,,,
,,SV Ried,,RZ Pellets WAC,,17:30,,,,,,,
,,Rapid Vienna,,Austria Vienna,,S 15.30,,,,,,,
,,,Danish Superleague,,,,,,,,,,
,,AC Horsens,,Esbjerg fB,,S 17.00,,,,,,,
,,AGF Aarhus,,Aalborg ,,S 17.00,,,,,,,
,,Copenhagen,,Midtjylland,,S 17.00,,,,,,,
,,Nordsjælland,,Brøndby ,,S 17.00,,,,,,,
,,Randers ,,Odense ,,S 17.00,,,,,,,
,,,Finnish Veikkausliga,,,,,,,,,,
,,Ilves,,RoPS ,,14:00,,,,,,,
,,PS Kemi,,SJK,,14:00,,,,,,,
,,VPS ,,KuPS ,,14:00,,,,,,,
,,JJK ,,HJK ,,S 15.00,,,,,,,
,,,Norwegian Tippligaen,,,,,,,,,,
,,Strømsgodset,,Sandefjord,,17:00,,,,,,,
,,Rosenborg,,Aalesund,,S 17.00,,,,,,,
,,Sarpsborg,,Kristiansund ,,S 17.00,,,,,,,
,,Tromsø,,Stabæk,,S 17.00,,,,,,,
,,Vålerenga,,Sogndal IL,,S 17.00,,,,,,,
,,Viking ,,Odd Grenland,,S 17.00,,,,,,,
,,Lillestrøm,,Brann,,S 19.00,,,,,,,
,,,Russian Premier League,,,,,,,,,,
,,Zenit St Petersburg,,FC Ural,,12:00,,,,,,,
,,Rostov,,Spartak Moscow,,14:30,,,,,,,
,,Loko Moscow,,Amkar Perm,,14:30,,,,,,,
,,Terek Grozny,,Anzhi Makhachkala,,17:00,,,,,,,
,,Tom Tomsk,,Orenburg,,S 10.00,,,,,,,
,,Krylia Sovetov Samara,,Rubin Kazan,,S 12.30,,,,,,,
,,FK Krasnodar,,Arsenal Tula,,S 15.00,,,,,,,
,,,Swedish Allsvenskan,,,,,,,,,,
,,Jönköpings Södra ,,AIK Stockholm,,15:00,,,,,,,
,,Häcken,,IFK Norrköping,,S 14.00,,,,,,,
,,Hammarby ,,GIF Sundsvall,,S 14.00,,,,,,,
,,AFC United,,Halmstads BK,,S 16.30,,,,,,,
,,Östersunds ,,IFK Göteborg,,S 16.30,,,,,,,
,,,Swiss Super League,,,,,,,,,,
,,Young Boys,,Lugano,,15:00,,,,,,,
,,Basel,,Vaduz,,15:00,,,,,,,
,,Sion,,Lausanne,,15:00,,,,,,,
,,St. Gallen,,Thun,,15:00,,,,,,,
,,Grasshoppers ,,Luzern,,15:00,,,,,,,
,,,US Major League,,,,,,,,,,
,,Philadelphia Union,,Montreal Impact,,18:00,,,,,,,
,,Houston Dynamo,,San Jose Earthquakes,,20:55,,,,,,,
,,Portland Timbers,,Vancouver Whitecaps FC,,21:00,,,,,,,
,,New England Rev',,D.C. United,,23.59,,,,,,,
,,New York Red Bulls,,Columbus Crew ,,23.59,,,,,,,
,,FC Dallas,,Sporting Kansas City,,23.59,,,,,,,
,,Real Salt Lake,,Atlanta Utd ,,23.59,,,,,,,
,,New York City ,,Orlando City ,,S 18.30,,,,,,,
,,LA Galaxy,,Seattle Sounders ,,S 21.00,,,,,,,
,,Minnesota Utd ,,Colorado Rapids,,S 23.59,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
